header,date,section,url
"Senate; Congressional Record Vol. 165, No. 210",2020-01-02,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-210/senate-section/article/S7247-1
"APPOINTMENT OF ACTING PRESIDENT PRO TEMPORE; Congressional Record Vol. 165, No. 210",2020-01-02,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-210/senate-section/article/S7247-2
"ADJOURNMENT UNTIL FRIDAY, JANUARY 3, 2020, AT 12 NOON; Congressional Record Vol. 165, No. 210",2020-01-02,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-210/senate-section/article/S7247-3
"Senate; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S1-8
"PRAYER; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S1-9
"PLEDGE OF ALLEGIANCE; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S1-10
"APPOINTMENT OF ACTING PRESIDENT PRO TEMPORE; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S1-11
"RECOGNITION OF THE MAJORITY LEADER; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S1-12
"IRAQ; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S1-13
"IMPEACHMENT; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S2-1
"RESERVATION OF LEADER TIME; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S3-1
"MORNING BUSINESS; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S3-2
"EXECUTIVE SESSION; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S3-3
"LEGISLATIVE SESSION; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S3-4
"MEASURE PLACED ON THE CALENDAR--S. 3148; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S3-5
"LETTER OF RESIGNATION; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S3-6
"ORDERS FOR MONDAY, JANUARY 6, 2020; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S4-1
"IMPEACHMENT; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S4-2
"IRAN; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S4-3
"IMPEACHMENT; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S4-4
"IRAN; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S7-1
"MESSAGES FROM THE PRESIDENT; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S8-1
"EXECUTIVE MESSAGES REFERRED; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S8-2
"MESSAGES FROM THE HOUSE; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S8-3
"MEASURES REFERRED; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S8-4
"MEASURES PLACED ON THE CALENDAR; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S8-5
"ENROLLED BILL PRESENTED; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S8-6
"INTRODUCTION OF BILLS AND JOINT RESOLUTIONS; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S8-7
"ADDITIONAL COSPONSORS; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S9-1
"ADJOURNMENT UNTIL MONDAY, JANUARY 6, 2020, AT 3 P.M.; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S9-2
"NOMINATIONS; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S9-3
"NOMINATIONS RETURNED TO THE PRESIDENT; Congressional Record Vol. 166, No. 1",2020-01-03,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-1/senate-section/article/S9-4
"House of Representatives; Congressional Record Vol. 166, No. 2",2020-01-06,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-2/senate-section/article/S11-2
"Senate; Congressional Record Vol. 166, No. 2",2020-01-06,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-2/senate-section/article/S11-3
"PRAYER; Congressional Record Vol. 166, No. 2",2020-01-06,senate-section,https://www.congress.gov/congressional-record/volume-166/issue-2/senate-section/article/S11-4
