header,date,section,url
"Senate; Congressional Record Vol. 165, No. 3",2019-01-08,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-3/senate-section/article/S35-1
"PRAYER; Congressional Record Vol. 165, No. 3",2019-01-08,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-3/senate-section/article/S35-2
"PLEDGE OF ALLEGIANCE; Congressional Record Vol. 165, No. 3",2019-01-08,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-3/senate-section/article/S35-3
"RECOGNITION OF THE MAJORITY LEADER; Congressional Record Vol. 165, No. 3",2019-01-08,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-3/senate-section/article/S35-4
"MEASURES PLACED ON THE CALENDAR--S. 28, H.R. 21, AND H.J. RES. 1; Congressional Record Vol. 165, No. 3",2019-01-08,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-3/senate-section/article/S35-5
"THE MIDDLE EAST; Congressional Record Vol. 165, No. 3",2019-01-08,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-3/senate-section/article/S35-6
"BORDER SECURITY; Congressional Record Vol. 165, No. 3",2019-01-08,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-3/senate-section/article/S35-7
"S. 1; Congressional Record Vol. 165, No. 3",2019-01-08,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-3/senate-section/article/S36-1
"BORDER SECURITY; Congressional Record Vol. 165, No. 3",2019-01-08,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-3/senate-section/article/S37-1
"RESERVATION OF LEADER TIME; Congressional Record Vol. 165, No. 3",2019-01-08,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-3/senate-section/article/S37-2
"CONCLUSION OF MORNING BUSINESS; Congressional Record Vol. 165, No. 3",2019-01-08,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-3/senate-section/article/S38-1
"STRENGTHENING AMERICA'S SECURITY IN THE MIDDLE EAST ACT OF 2019--Motion to Proceed; Congressional Record Vol. 165, No. 3",2019-01-08,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-3/senate-section/article/S38-2
"CERTIFICATE OF ELECTION; Congressional Record Vol. 165, No. 3",2019-01-08,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-3/senate-section/article/S38-3
"ADMINISTRATION OF OATH OF OFFICE; Congressional Record Vol. 165, No. 3",2019-01-08,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-3/senate-section/article/S38-4
"STRENGTHENING AMERICA'S SECURITY IN THE MIDDLE EAST ACT OF 2019--Motion to Proceed (Continued); Congressional Record Vol. 165, No. 3",2019-01-08,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-3/senate-section/article/S38-5
"CLOTURE MOTION; Congressional Record Vol. 165, No. 3",2019-01-08,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-3/senate-section/article/S48-1
"MORNING BUSINESS; Congressional Record Vol. 165, No. 3",2019-01-08,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-3/senate-section/article/S49-1
"REMEMBERING THE VICTIMS OF THE I-75 COLLISION NEAR GAINESVILLE, FL; Congressional Record Vol. 165, No. 3",2019-01-08,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-3/senate-section/article/S49-2
"TRIBUTE TO BILL CUNNINGHAM; Congressional Record Vol. 165, No. 3",2019-01-08,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-3/senate-section/article/S61-1
"TRIBUTE TO DEAN JOHNSON; Congressional Record Vol. 165, No. 3",2019-01-08,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-3/senate-section/article/S62-1
"S. 1; Congressional Record Vol. 165, No. 3",2019-01-08,senate-section,https://www.congress.gov/congressional-record/volume-165/issue-3/senate-section/article/S63-1
